subject,sender,content,urls,label
Taylor shared a file with you,hello-fd0t@figma.com,You've been invited to view a document. Open it whenever you like: https://www.figma.com/billing,https://www.figma.com/billing,0
Re: project timeline,jamie.morgan58@novatech.io,"Thanks, that works for me. I'll circulate the revised plan tomorrow.",,0
Sign-in confirmation,service14@dh1-secure.zip,Confirm your recent sign-in to continue: http://217.89.155.68/dhl/secure-login.php,http://217.89.155.68/dhl/secure-login.php,1
Your Airbnb receipt,automated-w5ng@airbnb.com,Thanks for your purchase. Your total was $89.39. View the receipt any time: https://www.airbnb.com/account,https://www.airbnb.com/account,0
Update your direct deposit,support@login-online.top,Please confirm your bank account and routing number to receive this month's salary on time. Use the secure portal here: http://98.70.254.237/coinbase/secure-login.php,http://98.70.254.237/coinbase/secure-login.php,1
Your Microsoft payment receipt,no-reply@microsoft.com,We received your payment of $35.93. Thanks for being a customer. Receipt: https://www.microsoft.com/billing/history,https://www.microsoft.com/billing/history,0
Quick update on the deploy,morgan.arjun32@novatech.io,"Deploy went out cleanly, all checks green. Dashboard: https://docs.novatech.io/0pvn9e",https://docs.novatech.io/0pvn9e,0
Congratulations! You have won a $1000 gift card,service@amazonmail.com,WINNER! You have been selected to receive a $1000 reward. Claim your prize now before it expires: http://amazon-desk.zip/account Provide your details to receive your cash reward immediately.,http://amazon-desk.zip/account,1
Confirm your Dropbox identity,help@mail-secure.com,"Hello, your account needs to be verified. Please click here to confirm your identity and enter your credentials: http://dropbox-secure.mkfaz.work/verify?id=jsg65kxvf1 Thank you for your cooperation.",http://dropbox-secure.mkfaz.work/verify?id=jsg65kxvf1,1
Action Required: Confirm your payment information,it@iiuc0-portal.support,Your recent payment could not be processed. Update your credit card and account number IMMEDIATELY to avoid service interruption: http://195.137.197.33/amazon/secure-login.php Failure to act will result in account termination!!!,http://195.137.197.33/amazon/secure-login.php,1
Congratulations! You have won a $1000 gift card,service@chase-team.work,WINNER! You have been selected to receive a $1000 reward. Claim your prize now before it expires: https://is.gd/qicatv Provide your details to receive your cash reward immediately.,https://is.gd/qicatv,1
Sign-in confirmation,account36@paypa1-team.top,Confirm your recent sign-in to continue: http://payment-desk.zip/verify,http://payment-desk.zip/verify,1
Action Required: Confirm your payment information,security@dhl-verify.top,Your recent payment could not be processed. Update your credit card and account number IMMEDIATELY to avoid service interruption: http://138.115.36.109/dhl/secure-login.php Failure to act will result in account termination!!!,http://138.115.36.109/dhl/secure-login.php,1
Your Airbnb invoice is ready,automated85@airbnb.com,"Hi Sara, your subscription renewed successfully. No action needed. View your invoice in account settings: https://www.airbnb.com/billing",https://www.airbnb.com/billing,0
